"gemeinde_kennziffer";"metrik";"l_untergrenze";"exponierte";"l_zentral";"quelle";"kartierungsumfang";"datenquelle"
"06432003";"lnight";"60";"140";"62";"Straße";"major";"Bundesland"
"06432003";"lnight";"65";"2";"67";"Straße";"major";"Bundesland"
"06432003";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432004";"lden";"55";"1416";"57";"Straße";"major";"Bundesland"
"06432004";"lden";"60";"454";"62";"Straße";"major";"Bundesland"
"06432004";"lden";"65";"316";"67";"Straße";"major";"Bundesland"
"06432004";"lden";"70";"168";"72";"Straße";"major";"Bundesland"
"06432004";"lden";"75";"4";"77";"Straße";"major";"Bundesland"
"06432004";"lnight";"50";"723";"52";"Straße";"major";"Bundesland"
"06432004";"lnight";"55";"367";"57";"Straße";"major";"Bundesland"
"06432004";"lnight";"60";"173";"62";"Straße";"major";"Bundesland"
"06432004";"lnight";"65";"15";"67";"Straße";"major";"Bundesland"
"06432004";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432005";"lden";"55";"1180";"57";"Straße";"major";"Bundesland"
"06432005";"lden";"60";"372";"62";"Straße";"major";"Bundesland"
"06432005";"lden";"65";"162";"67";"Straße";"major";"Bundesland"
"06432005";"lden";"70";"144";"72";"Straße";"major";"Bundesland"
"06432005";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06432005";"lnight";"50";"724";"52";"Straße";"major";"Bundesland"
"06432005";"lnight";"55";"191";"57";"Straße";"major";"Bundesland"
"06432005";"lnight";"60";"153";"62";"Straße";"major";"Bundesland"
"06432005";"lnight";"65";"1";"67";"Straße";"major";"Bundesland"
"06432005";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432006";"lden";"55";"441";"57";"Straße";"major";"Bundesland"
"06432006";"lden";"60";"65";"62";"Straße";"major";"Bundesland"
"06432006";"lden";"65";"2";"67";"Straße";"major";"Bundesland"
"06432006";"lden";"70";"3";"72";"Straße";"major";"Bundesland"
"06432006";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06432006";"lnight";"50";"244";"52";"Straße";"major";"Bundesland"
"06432006";"lnight";"55";"14";"57";"Straße";"major";"Bundesland"
"06432006";"lnight";"60";"2";"62";"Straße";"major";"Bundesland"
"06432006";"lnight";"65";"1";"67";"Straße";"major";"Bundesland"
"06432006";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432007";"lden";"55";"0";"57";"Straße";"major";"Bundesland"
"06432007";"lden";"60";"0";"62";"Straße";"major";"Bundesland"
"06432007";"lden";"65";"0";"67";"Straße";"major";"Bundesland"
"06432007";"lden";"70";"0";"72";"Straße";"major";"Bundesland"
"06432007";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06432007";"lnight";"50";"0";"52";"Straße";"major";"Bundesland"
"06432007";"lnight";"55";"0";"57";"Straße";"major";"Bundesland"
"06432007";"lnight";"60";"0";"62";"Straße";"major";"Bundesland"
"06432007";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06432007";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432008";"lden";"55";"2859";"57";"Straße";"major";"Bundesland"
"06432008";"lden";"60";"1593";"62";"Straße";"major";"Bundesland"
"06432008";"lden";"65";"1185";"67";"Straße";"major";"Bundesland"
"06432008";"lden";"70";"448";"72";"Straße";"major";"Bundesland"
"06432008";"lden";"75";"37";"77";"Straße";"major";"Bundesland"
"06432008";"lnight";"50";"2220";"52";"Straße";"major";"Bundesland"
"06432008";"lnight";"55";"1631";"57";"Straße";"major";"Bundesland"
"06432008";"lnight";"60";"643";"62";"Straße";"major";"Bundesland"
"06432008";"lnight";"65";"77";"67";"Straße";"major";"Bundesland"
"06432008";"lnight";"70";"1";"72";"Straße";"major";"Bundesland"
"06432009";"lden";"55";"218";"57";"Straße";"major";"Bundesland"
"06432009";"lden";"60";"171";"62";"Straße";"major";"Bundesland"
"06432009";"lden";"65";"159";"67";"Straße";"major";"Bundesland"
"06432009";"lden";"70";"288";"72";"Straße";"major";"Bundesland"
"06432009";"lden";"75";"20";"77";"Straße";"major";"Bundesland"
"06432009";"lnight";"50";"172";"52";"Straße";"major";"Bundesland"
"06432009";"lnight";"55";"148";"57";"Straße";"major";"Bundesland"
"06432009";"lnight";"60";"308";"62";"Straße";"major";"Bundesland"
"06432009";"lnight";"65";"41";"67";"Straße";"major";"Bundesland"
"06432009";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432010";"lden";"55";"325";"57";"Straße";"major";"Bundesland"
"06432010";"lden";"60";"160";"62";"Straße";"major";"Bundesland"
"06432010";"lden";"65";"152";"67";"Straße";"major";"Bundesland"
"06432010";"lden";"70";"72";"72";"Straße";"major";"Bundesland"
"06432010";"lden";"75";"8";"77";"Straße";"major";"Bundesland"
"06432010";"lnight";"50";"190";"52";"Straße";"major";"Bundesland"
"06432010";"lnight";"55";"148";"57";"Straße";"major";"Bundesland"
"06432010";"lnight";"60";"93";"62";"Straße";"major";"Bundesland"
"06432010";"lnight";"65";"13";"67";"Straße";"major";"Bundesland"
"06432010";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432011";"lden";"55";"650";"57";"Straße";"major";"Bundesland"
"06432011";"lden";"60";"300";"62";"Straße";"major";"Bundesland"
"06432011";"lden";"65";"255";"67";"Straße";"major";"Bundesland"
"06432011";"lden";"70";"201";"72";"Straße";"major";"Bundesland"
